id,participant_id,started_at,drag_completed,tap_completed,hold_completed,completed,completed_at,device_info,notes
02411d6c-cd2c-44ae-8975-5d77109375a5,7d6c6897-f219-496e-aa7b-f1f6b3b3f10d,2026-03-28 16:56:26.372+00,true,true,true,true,2026-03-28 16:57:12.177+00,,
39914bd0-e079-42fb-a349-73a97423c9e3,61b68218-8546-4c96-b1a3-89958d841ffc,2026-03-28 16:37:40.631+00,false,false,false,false,,,
4529e56f-1c89-4213-920d-da9ef8968d51,61b68218-8546-4c96-b1a3-89958d841ffc,2026-03-28 16:36:51.887+00,true,true,true,true,2026-03-28 16:37:33.788+00,,
58e37b87-32bf-4c14-836d-99bd4708f98c,b4a056d2-f558-45ed-af7b-39dcf8ab164a,2026-03-28 16:11:54.458+00,true,true,true,true,2026-03-28 16:12:57.852+00,,
5af0a1f1-a27b-46ec-a7e7-548cb36e8171,0cc0ecd4-d914-4ec3-a3ee-4ef5c174ca90,2026-03-28 17:47:07.215+00,false,true,true,true,,,
61074d7c-4122-4800-8087-0d61ec206110,bd4b05b3-9dbd-45ee-b7f0-ef4efe2df494,2026-03-28 19:22:20.379+00,false,false,false,false,,,
7f4c8b2b-3f46-4453-bcfe-aafd6c4f88ec,0cc0ecd4-d914-4ec3-a3ee-4ef5c174ca90,2026-03-28 17:48:33.421+00,true,true,true,true,2026-03-28 17:50:29.668+00,,
8e2469ae-f38f-4b50-bc13-fcccd9006836,b4a056d2-f558-45ed-af7b-39dcf8ab164a,2026-03-28 16:13:04.681+00,true,true,true,true,2026-03-28 16:16:32.469+00,,
91d39725-c6dc-4822-8f97-e4c89be5113c,a60141b7-eb09-4928-a4af-de0d523323a8,2026-03-28 18:06:30.356+00,true,true,true,true,2026-03-28 18:07:14.374+00,,
9d529ce7-5ae7-4113-a3e4-933507eaf217,0f83c078-5456-4f84-85b5-3b10bd517eab,2026-03-28 16:28:02.225+00,true,true,true,true,2026-03-28 16:29:50.368+00,,
a10ad59a-541f-4cab-bc2a-b083a05d5208,bd4b05b3-9dbd-45ee-b7f0-ef4efe2df494,2026-03-28 19:21:42.666+00,false,false,false,false,,,
ba4ff767-3fd4-44e5-bc8a-b3293f1fae04,62e58bb1-6572-4e5f-9646-c98db4c2db97,2026-03-28 16:34:27.477+00,false,true,true,true,,,
c7fd21ea-174a-4cd2-973d-0ef04fd8b3e0,0f83c078-5456-4f84-85b5-3b10bd517eab,2026-03-28 16:25:59.09+00,true,true,true,true,2026-03-28 16:26:41.289+00,,
d2b287a9-e580-4481-b493-17f9528b44bf,dd4d7b96-1b12-4969-9262-284e4020c4b3,2026-03-28 17:14:38.523+00,true,true,true,true,2026-03-28 17:15:15.827+00,,
da89b653-b6d7-4dcd-ba6c-fc98a1133ee5,bd4b05b3-9dbd-45ee-b7f0-ef4efe2df494,2026-03-28 18:38:00.995+00,true,true,true,true,2026-03-28 18:38:45.373+00,,
e21d7ce9-eaa1-4e71-a6cb-2f1763132f39,1fefff38-371a-48dd-bb7c-c200c046d04e,2026-03-28 16:19:49.8+00,true,true,true,true,2026-03-28 16:20:56.668+00,,
e5fdd937-1a41-434d-a9c6-f4ac514c4b14,1fefff38-371a-48dd-bb7c-c200c046d04e,2026-03-28 16:21:07.366+00,true,true,true,true,2026-03-28 16:24:03.945+00,,
